1920,"54.290432,41.029858",32625,488,1669347916
1982,"54.217854,41.230476",33350,489,1669347978
2045,"54.142487,41.437119",33900,494,1669348041
2108,"54.065826,41.645405",34500,497,1669348104
2170,"53.989609,41.850964",35000,500,1669348166
2213,"53.933075,41.990139",35000,501,1669348209
2216,"53.927975,41.999359",35000,501,1669348212
2219,"53.923134,42.007759",35000,501,1669348215
2222,"53.918106,42.016083",35000,500,1669348218
2225,"53.9128,42.024483",35000,500,1669348221
2229,"53.90712,42.033142",35000,498,1669348225
2232,"53.903999,42.037731",35000,497,1669348228
2234,"53.898369,42.045647",35000,496,1669348230
2238,"53.89119,42.055508",35000,496,1669348234
2300,"53.779331,42.207855",35000,495,1669348296
2362,"53.669331,42.356659",35000,497,1669348358
2425,"53.55714,42.507477",35000,497,1669348421
2486,"53.446609,42.654968",35000,494,1669348482
2547,"53.337433,42.799519",35000,494,1669348543
2611,"53.225548,42.94685",35175,492,1669348607
2672,"53.110424,43.078766",35775,482,1669348668
2735,"52.985897,43.175171",36000,478,1669348731
2796,"52.861679,43.267059",36000,477,1669348792
2857,"52.741699,43.355026",36000,480,1669348853
2919,"52.613712,43.448418",36000,476,1669348915
2982,"52.487926,43.539604",36000,472,1669348978
3045,"52.363728,43.628986",36000,472,1669349041
3107,"52.238407,43.718838",36000,472,1669349103
3170,"52.111877,43.808846",36000,472,1669349166
3233,"51.986389,43.897629",36000,468,1669349229
3296,"51.860733,43.985844",36000,468,1669349292
3358,"51.73851,44.071285",36000,467,1669349354
3420,"51.617401,44.155426",36000,466,1669349416
3481,"51.496399,44.238976",36000,465,1669349477
3542,"51.37532,44.322041",36000,465,1669349538
3604,"51.251999,44.405106",36000,463,1669349600
3665,"51.127766,44.455566",36000,454,1669349661
3728,"50.999699,44.497528",36000,454,1669349724
3789,"50.874023,44.538277",36000,453,1669349785
3852,"50.743011,44.58046",36000,454,1669349848
3916,"50.612522,44.622234",36000,453,1669349912
3980,"50.480438,44.664265",36000,454,1669349976
4041,"50.355324,44.703888",36000,454,1669350037
4102,"50.231827,44.74276",36000,450,1669350098
4166,"50.102142,44.783382",36000,447,1669350162
4228,"49.975784,44.822659",36000,447,1669350224
4291,"49.847992,44.862236",36000,446,1669350287
4352,"49.725704,44.899937",36000,444,1669350348
4414,"49.598328,44.938854",36000,445,1669350410
4477,"49.472076,44.977306",36000,446,1669350473
4538,"49.34935,45.014507",36000,448,1669350534
4599,"49.226303,45.051693",36000,449,1669350595
4661,"49.099548,45.08979",36000,449,1669350657
4722,"48.973892,45.127327",36000,450,1669350718
4784,"48.848801,45.164505",36000,452,1669350780
4845,"48.722122,45.201908",36000,452,1669350841
4907,"48.593857,45.239658",36000,453,1669350903
4970,"48.46558,45.27784",36000,454,1669350966
5031,"48.342636,45.340866",36000,460,1669351027
5094,"48.223324,45.427311",36000,459,1669351090
5155,"48.106201,45.512718",36000,457,1669351151
5217,"47.990097,45.597065",36000,455,1669351213
5278,"47.875439,45.679886",36000,452,1669351274
5340,"47.759674,45.763206",36000,449,1669351336
5401,"47.644226,45.84581",36000,450,1669351397
5462,"47.529045,45.927711",36000,452,1669351458
5525,"47.412056,46.010742",36000,453,1669351521
5587,"47.295818,46.092999",36000,451,1669351583
5648,"47.179596,46.174919",36000,449,1669351644
5709,"47.070099,46.274483",36000,461,1669351705
5774,"46.978794,46.427517",36000,476,1669351770
5835,"46.905853,46.594322",36000,476,1669351831
5898,"46.831551,46.763443",36000,472,1669351894
5960,"46.758362,46.929173",36000,473,1669351956
6023,"46.683701,47.097153",36000,476,1669352019
6085,"46.610893,47.264694",36000,475,1669352081
6148,"46.536594,47.43409",36000,472,1669352144
6211,"46.462997,47.601013",36000,472,1669352207
6272,"46.390423,47.764572",36000,473,1669352268
6334,"46.319458,47.928391",36000,476,1669352330
6395,"46.267105,48.112015",36000,485,1669352391
6458,"46.235172,48.310661",36000,489,1669352454
6507,"46.207352,48.463573",36000,482,1669352503
6511,"46.203701,48.475388",36000,481,1669352507
6514,"46.200302,48.485413",36000,479,1669352510
6517,"46.197231,48.49379",36000,479,1669352513
6521,"46.193527,48.503166",36000,477,1669352517
6524,"46.189922,48.511711",36000,475,1669352520
6527,"46.18602,48.520248",36000,474,1669352523
6531,"46.181625,48.529289",36000,473,1669352527
6534,"46.17754,48.537186",36000,471,1669352530
6537,"46.173164,48.545082",36000,470,1669352533
6540,"46.168739,48.552567",36000,468,1669352536
6543,"46.164322,48.559704",36000,467,1669352539
6547,"46.159012,48.567673",36000,465,1669352543
6550,"46.154636,48.573853",36000,464,1669352546
6553,"46.149467,48.580788",36000,463,1669352549
6556,"46.143677,48.588039",36000,461,1669352552
6560,"46.138,48.594742",36000,460,1669352556
6563,"46.133083,48.600151",36000,459,1669352559
6566,"46.128056,48.605438",36000,457,1669352562
6569,"46.121582,48.611755",36000,456,1669352565
6573,"46.11644,48.616444",36000,455,1669352569
6576,"46.110409,48.621643",36000,453,1669352572
6579,"46.104733,48.626244",36000,452,1669352575
6582,"46.098038,48.631184",36000,451,1669352578
6586,"46.091465,48.635719",36000,450,1669352582
6589,"46.086411,48.638954",36000,448,1669352585
6592,"46.080505,48.642502",36000,447,1669352588
6595,"46.073273,48.646389",36000,445,1669352591
6599,"46.067413,48.649338",36000,444,1669352595
6601,"46.061462,48.652016",36000,444,1669352597
6605,"46.054409,48.654945",36000,443,1669352601
6608,"46.048122,48.657555",36000,442,1669352604
6612,"46.040634,48.660591",36000,443,1669352608
6615,"46.034531,48.663116",36000,443,1669352611
6677,"45.91312,48.71228",36000,442,1669352673
6739,"45.791153,48.761009",36000,443,1669352735
6801,"45.667694,48.810246",36000,444,1669352797
6863,"45.545685,48.858612",36000,446,1669352859
6925,"45.422012,48.907406",36000,446,1669352921
6987,"45.298214,48.956017",36000,450,1669352983
7050,"45.173264,49.00491",36000,450,1669353046
7112,"45.048935,49.053303",36000,450,1669353108
7174,"44.923737,49.101757",36000,454,1669353170
7236,"44.79731,49.150486",36000,453,1669353232
7299,"44.6716,49.198673",36000,450,1669353295
7362,"44.546162,49.246616",36000,448,1669353358
7424,"44.422287,49.293713",36000,446,1669353420
7486,"44.297806,49.340874",36000,444,1669353482
7547,"44.178177,49.385971",36000,441,1669353543
7609,"44.05426,49.432472",36000,442,1669353605
7652,"43.969566,49.458618",36000,437,1669353648
7655,"43.963467,49.459206",36000,436,1669353651
7658,"43.957581,49.459492",36000,436,1669353654
7661,"43.951412,49.459534",36000,436,1669353657
7664,"43.945267,49.459427",36000,435,1669353660
7668,"43.939407,49.459045",36000,434,1669353664
7671,"43.933208,49.458355",36000,434,1669353667
7674,"43.927341,49.457508",36000,433,1669353670
7677,"43.923527,49.456852",36000,433,1669353673
7680,"43.915565,49.455151",36000,432,1669353676
7683,"43.909187,49.453453",36000,431,1669353679
7686,"43.903244,49.451698",36000,431,1669353682
7689,"43.897179,49.449593",36000,431,1669353685
7692,"43.890938,49.447174",36000,431,1669353688
7695,"43.885117,49.444672",36000,430,1669353691
7698,"43.87912,49.441799",36000,429,1669353694
7701,"43.873535,49.438858",36000,429,1669353697
7704,"43.867336,49.435337",36000,429,1669353700
7707,"43.862183,49.432217",36000,428,1669353703
7710,"43.856918,49.428703",36000,428,1669353706
7713,"43.851288,49.424744",36000,427,1669353709
7717,"43.846252,49.42091",36000,427,1669353713
7720,"43.840622,49.416378",36000,427,1669353716
7723,"43.835678,49.412098",36000,427,1669353719
7726,"43.831146,49.407944",36000,427,1669353722
7729,"43.825581,49.402576",36000,427,1669353725
7732,"43.821121,49.39798",36000,426,1669353728
7735,"43.816315,49.392807",36000,426,1669353731
7738,"43.812241,49.388145",36000,426,1669353734
7741,"43.807796,49.382694",36000,426,1669353737
